[2022-11-01 13:14:32,666][lightning][INFO] - successful load initial weights
[2022-11-01 13:14:34,462][lightning][INFO] - reference : джой хватит
[2022-11-01 13:14:34,463][lightning][INFO] - prediction: 
[2022-11-01 13:14:34,536][lightning][INFO] - reference : джой надоел
[2022-11-01 13:14:34,536][lightning][INFO] - prediction: 
[2022-11-01 13:14:39,910][lightning][INFO] - reference : афина организуй мне запись к моему парикмахеру на этой неделе
[2022-11-01 13:14:39,910][lightning][INFO] - prediction: мртитооева кедуаа  ота ню
[2022-11-01 13:14:42,157][lightning][INFO] - reference : джой скажи а у тебя есть девушка
[2022-11-01 13:14:42,158][lightning][INFO] - prediction: е
[2022-11-01 13:14:43,845][lightning][INFO] - reference : джой почему у некоторых людей нормальная улыбка а у некоторых очень сильно видны верхние десны
[2022-11-01 13:14:43,846][lightning][INFO] - prediction: аакакатанааланапаккноаопананиналенениакакака
[2022-11-01 13:14:45,790][lightning][INFO] - reference : сбер здравствуйте сегодня работает банк на гамзатова шестьдесят четыре
[2022-11-01 13:14:45,790][lightning][INFO] - prediction: сокатоаантосенен
[2022-11-01 13:14:47,647][lightning][INFO] - reference : афина отключить таймер
[2022-11-01 13:14:47,647][lightning][INFO] - prediction: сте
[2022-11-01 13:14:49,520][lightning][INFO] - reference : афина когда перестал существовать саманиды
[2022-11-01 13:14:49,520][lightning][INFO] - prediction: сжали оквоветаотооноа
[2022-11-01 13:14:51,829][lightning][INFO] - reference : афина из за чего муха не падает со стены
[2022-11-01 13:14:51,830][lightning][INFO] - prediction: афин аисти о кн панииссаее
[2022-11-01 13:14:53,935][lightning][INFO] - reference : сбер здравствуйте как подключить услугу бонусы спасибо
[2022-11-01 13:14:53,935][lightning][INFO] - prediction: сбер асатикатадчисксобансаана
[2022-11-01 13:14:55,993][lightning][INFO] - reference : афина поставь будильник на восемь утра
[2022-11-01 13:14:55,993][lightning][INFO] - prediction: сафиен кааовенавсен
[2022-11-01 13:14:57,779][lightning][INFO] - reference : сбер выведи мне адреса банкоматов сбербанка
[2022-11-01 13:14:57,779][lightning][INFO] - prediction: сбир келтименистакитоанеенаа
[2022-11-01 13:14:59,414][lightning][INFO] - reference : афина чем занимается роснанотех
[2022-11-01 13:14:59,414][lightning][INFO] - prediction: ина тииматаоссати
[2022-11-01 13:15:01,485][lightning][INFO] - reference : джой какие болонки ты знаешь
[2022-11-01 13:15:01,485][lightning][INFO] - prediction: жой кокибанодетасмат
[2022-11-01 13:15:03,403][lightning][INFO] - reference : джой включи корнилич
[2022-11-01 13:15:03,404][lightning][INFO] - prediction: сжой куличитане
[2022-11-01 13:15:05,439][lightning][INFO] - reference : салют сводный отчет по картам
[2022-11-01 13:15:05,440][lightning][INFO] - prediction: алютсбокиочи токану
[2022-11-01 13:15:07,332][lightning][INFO] - reference : сбер ужасы стивена спилберга
[2022-11-01 13:15:07,333][lightning][INFO] - prediction: бер ласястемескее
[2022-11-01 13:15:09,312][lightning][INFO] - reference : сбер сделай пополнение телефона на двести рублей
[2022-11-01 13:15:09,312][lightning][INFO] - prediction: бер сдербопорненетниолнатистлп
[2022-11-01 13:15:11,554][lightning][INFO] - reference : афина а есть информация по погоде в городе мышкин
[2022-11-01 13:15:11,554][lightning][INFO] - prediction: афина аитисанатакбоботоволечите
[2022-11-01 13:15:13,570][lightning][INFO] - reference : яркость освещения на веранде нужно увеличить на двадцать пять процентов
[2022-11-01 13:15:13,571][lightning][INFO] - prediction: беркастасшненнедебознополичинеаапеаса
[2022-11-01 13:15:15,540][lightning][INFO] - reference : сбер по какой причине мне пришло отказ по кредиту
[2022-11-01 13:15:15,540][lightning][INFO] - prediction: сбер какопречининекишенокакткаскоитика
[2022-11-01 13:15:17,599][lightning][INFO] - reference : сбер что за регион оплаты
[2022-11-01 13:15:17,599][lightning][INFO] - prediction: сбер тузрибнатто
[2022-11-01 13:15:19,836][lightning][INFO] - reference : салют что такое острова кука
[2022-11-01 13:15:19,836][lightning][INFO] - prediction: салют чтакавтаогуба
[2022-11-01 13:15:21,803][lightning][INFO] - reference : джой фильм про шварценеггера терминатор
[2022-11-01 13:15:21,803][lightning][INFO] - prediction: джой филенслоснадердермнада
[2022-11-01 13:15:23,906][lightning][INFO] - reference : джой могу поменять офис получения карты
[2022-11-01 13:15:23,907][lightning][INFO] - prediction: джой маму поненеткутисмючини каты
[2022-11-01 13:15:26,001][lightning][INFO] - reference : джой давно пора
[2022-11-01 13:15:26,001][lightning][INFO] - prediction: джой наама
[2022-11-01 13:15:27,832][lightning][INFO] - reference : афина для чего нужна финансовая аналитика
[2022-11-01 13:15:27,832][lightning][INFO] - prediction: афитн удчой дежноафенасванаита
[2022-11-01 13:15:29,482][lightning][INFO] - reference : джой пропали карты
[2022-11-01 13:15:29,482][lightning][INFO] - prediction: джой ракали карты
[2022-11-01 13:15:31,415][lightning][INFO] - reference : джой вруби мое музло
[2022-11-01 13:15:31,416][lightning][INFO] - prediction: джой удемонеосо
[2022-11-01 13:15:33,445][lightning][INFO] - reference : сбер когда начался сербский договор
[2022-11-01 13:15:33,445][lightning][INFO] - prediction: сбер калданасусастярсидонала
[2022-11-01 13:15:35,464][lightning][INFO] - reference : салют здравствуйте есть ли деньги у меня на счете
[2022-11-01 13:15:35,464][lightning][INFO] - prediction: салют сратюпесниете ту меромашет
[2022-11-01 13:15:37,246][lightning][INFO] - reference : салют как часто можно выходить на ули
[2022-11-01 13:15:37,246][lightning][INFO] - prediction: салют авчатиможан адиналние
[2022-11-01 13:15:39,461][lightning][INFO] - reference : сбер что тебе известно
[2022-11-01 13:15:39,461][lightning][INFO] - prediction: сбер ччотибезесна
[2022-11-01 13:15:41,222][lightning][INFO] - reference : салют перекинь ка деньги а то баланс на сотовом телефоне кончился
[2022-11-01 13:15:41,222][lightning][INFO] - prediction: салют прети колеги котобаласа запдяхони кооса
[2022-11-01 13:15:43,135][lightning][INFO] - reference : афина оплата связи второй номер
[2022-11-01 13:15:43,135][lightning][INFO] - prediction: афина клу слези с тародана
[2022-11-01 13:15:45,079][lightning][INFO] - reference : афина какими навыками знаниями и качествами должен обладать современный мужчина чтобы быть капитальным красавчиком
[2022-11-01 13:15:45,079][lightning][INFO] - prediction: афина какиминавокымезмаии качтнеожнолодясовлиениучмочтоеркпитаросовчи
[2022-11-01 13:15:47,053][lightning][INFO] - reference : сбер что будет если меня поймают с наркотиками а я скажу что нашел их и хочу сдать
[2022-11-01 13:15:47,053][lightning][INFO] - prediction: сбер чтовдекистмникомасожпочкнкояспожожтмошооши очсдот
[2022-11-01 13:15:48,775][lightning][INFO] - reference : салют перевыпустите карту московского региона
